Trial_number,Trial_time,Gradient_T,X,Y,Z,IS_temperature,IS_hydration,IS_energy,IS_security,IS_mating,Att_temperature,Att_hydration,Att_energy,Att_security,Att_mating
2,0.032,0.95701,0.0,-0.00758,269.99958,0.9092,0.8996,0.1997,0.0,0.8998,0.06161,-0.0,0.29382,-0.0,-0.0
2,0.16,0.95701,0.0,-0.00719,269.99958,0.9184,0.8992,0.1994,0.0,0.8996,0.1048,0.05552,0.48862,-0.0,-0.0
2,0.32,0.95701,0.0,-0.0069,269.99958,0.9276,0.8988,0.1991,0.0,0.8994,0.29644,0.08079,0.62202,-0.0,0.23062
2,0.416,0.95701,0.0,-0.00676,269.99958,0.9368,0.8984,0.1988,0.0,0.8992,0.49601,0.11764,0.55262,0.16794,0.33472
2,0.544,0.95701,0.0,-0.00656,269.99958,0.946,0.898,0.1985,0.0,0.899,0.37141,0.10773,0.48301,0.0831,0.30554
2,0.672,0.95701,7e-05,-0.00188,269.50575,0.9552,0.8976,0.1982,0.0,0.8988,0.29813,-0.0,0.3077,0.09365,0.29541
2,0.864,0.95701,-0.00013,0.02097,267.90786,0.9644,0.8972,0.1979,0.51097,0.8986,0.25823,0.0712,0.41606,0.13093,0.55143
2,0.96,0.95701,-0.0004,0.03038,267.22996,0.9736,0.8968,0.1976,0.51097,0.8984,0.30584,0.0296,0.5584,0.1417,0.72638
2,1.088,0.95701,-0.00091,0.04224,266.33173,0.9828,0.8964,0.1973,0.51097,0.8982,0.27159,-0.0,0.64478,0.13543,0.64417
2,1.216,0.95701,-0.0011,0.0541,259.516,0.992,0.896,0.197,0.51097,0.898,0.29342,0.06783,0.59482,-0.0,0.61275
2,1.312,0.95955,-0.00216,0.06241,254.99806,1.0,0.8956,0.1967,0.51097,0.8978,0.50217,-0.0,0.84524,-0.0,0.80642
2,1.472,0.95955,-0.00417,0.07035,255.04814,1.0,0.8952,0.1964,0.51097,0.8976,0.48022,-0.0,0.86712,-0.0,0.86449
2,1.6,0.95955,-0.00742,0.08451,246.31077,1.0,0.8948,0.1961,0.51097,0.8974,0.49052,-0.0,1.0,0.09674,0.594
2,1.728,0.95955,-0.01045,0.09095,247.16402,1.0,0.8944,0.1958,0.51097,0.8972,0.64981,-0.0,0.84878,0.17606,0.52068
2,1.888,0.95955,-0.01541,0.10405,237.48355,1.0,0.894,0.1955,0.51097,0.897,0.76227,0.09655,0.73617,0.07782,0.6324
2,2.016,0.95955,-0.01909,0.10965,239.12172,1.0,0.8936,0.1952,0.51097,0.8968,0.77438,0.22432,0.89708,0.03716,0.59471
2,2.176,0.95955,-0.02657,0.12281,230.22985,1.0,0.8932,0.1949,0.51097,0.8966,0.81837,0.32586,0.9574,0.30493,0.51844
2,2.304,0.95701,-0.03326,0.13062,230.14868,1.0,0.8928,0.1946,0.51097,0.8964,0.90002,0.65674,0.9702,0.39339,0.64343
2,2.4,0.95701,-0.03903,0.13813,226.53709,1.0,0.8924,0.1943,0.50355,0.8962,0.88956,0.69378,0.99519,0.45106,0.54751
2,2.496,0.95701,-0.04533,0.14529,222.94472,1.0,0.892,0.194,0.50355,0.896,0.87307,0.4357,1.0,0.33288,0.60311
2,2.624,0.95701,-0.05428,0.15412,217.84339,1.0,0.8916,0.1937,0.50355,0.8958,0.643,0.29537,0.86404,0.37522,0.59692
2,2.784,0.95701,-0.06339,0.16109,215.63221,1.0,0.8912,0.1934,0.50355,0.8956,0.45876,0.21835,1.0,0.29924,0.6351
2,2.88,0.95701,-0.07018,0.16663,210.5217,1.0,0.8908,0.1931,0.50355,0.8954,0.4809,0.20742,1.0,0.35881,0.5863
2,2.976,0.95701,-0.0774,0.17153,205.18556,1.0,0.8904,0.1928,0.50355,0.8952,0.41058,0.07022,1.0,0.24473,0.30035
2,3.072,0.95701,-0.08256,0.17359,206.7233,1.0,0.89,0.1925,0.50355,0.895,0.35339,0.09634,1.0,0.31193,0.2856
2,3.136,0.95701,-0.08718,0.17635,204.03444,1.0,0.8896,0.1922,0.50355,0.8948,0.30056,0.021,0.99777,0.2607,0.1709
2,3.264,0.95701,-0.09803,0.18187,196.30431,1.0,0.8892,0.1919,0.50355,0.8946,0.24808,-0.0,1.0,0.20161,-0.0
2,3.424,0.95701,-0.10551,0.18379,198.18855,1.0,0.8888,0.1916,0.48901,0.8944,0.21221,-0.0,0.94528,0.23884,0.00883
2,3.552,0.95701,-0.11986,0.18901,188.78387,1.0,0.8884,0.1913,0.48901,0.8942,0.26414,-0.0,0.9604,0.11664,-0.0
2,3.68,0.95701,-0.12944,0.19012,190.36448,1.0,0.888,0.191,0.48901,0.894,0.30048,0.01886,1.0,0.14582,0.06938
2,3.84,0.95428,-0.14569,0.19271,197.61713,1.0,0.8876,0.1907,0.48901,0.8938,0.22841,0.04625,1.0,0.01648,0.13471
2,3.936,0.95428,-0.15377,0.19521,199.16382,1.0,0.8872,0.1904,0.48901,0.8936,0.24118,0.12386,1.0,0.09589,0.16915
2,4.032,0.95428,-0.16081,0.1976,198.60225,1.0,0.8868,0.1901,0.48901,0.8934,0.20432,0.11451,1.0,0.05432,0.17478
2,4.192,0.95428,-0.17625,0.20246,205.397,1.0,0.8864,0.1898,0.48901,0.8932,0.20174,0.07846,0.95231,0.10097,0.17926
2,4.352,0.95428,-0.18997,0.20862,211.76444,1.0,0.886,0.1895,0.48901,0.893,0.10401,0.1238,0.91822,0.02529,0.10983
2,4.448,0.95428,-0.19757,0.21296,215.13439,1.0,0.8856,0.1892,0.48901,0.8928,0.10679,0.12883,0.8776,-0.0,0.02311
2,4.576,0.95428,-0.20707,0.21922,218.90398,1.0,0.8852,0.1889,0.48901,0.8926,0.01322,0.22483,0.89561,-0.0,0.02002
2,4.704,0.95428,-0.21636,0.2267,221.86189,1.0,0.8848,0.1886,0.48901,0.8924,0.00615,0.26512,0.88437,0.00073,0.08648
2,4.8,0.95428,-0.22285,0.23297,219.10696,1.0,0.8844,0.1883,0.48901,0.8922,0.03393,0.21717,0.81314,-0.0,0.14475
2,4.928,0.95428,-0.22969,0.23894,216.40027,1.0,0.884,0.188,0.48901,0.892,0.09987,0.25836,0.78095,0.02436,0.11587
2,5.056,0.95428,-0.24171,0.24813,211.99182,1.0,0.8836,0.1877,0.40149,0.8918,0.03477,0.08756,0.74966,-0.0,0.14013
2,5.216,0.95428,-0.25468,0.25654,207.37306,1.0,0.8832,0.1874,0.40149,0.8916,0.00124,0.01832,0.77165,-0.0,0.1934
2,5.312,0.95428,-0.26359,0.26154,203.88369,1.0,0.8828,0.1871,0.40149,0.8914,0.04859,-0.0,0.83255,0.02943,0.12398
2,5.408,0.95428,-0.27267,0.26586,200.7632,1.0,0.8824,0.1868,0.40149,0.8912,-0.0,-0.0,0.80111,0.01232,0.17931
2,5.504,0.95138,-0.28131,0.26931,199.50525,1.0,0.882,0.1865,0.40149,0.891,-0.0,-0.0,0.74587,0.02437,0.2529
2,5.664,0.95138,-0.29743,0.27521,194.05847,1.0,0.8816,0.1862,0.40149,0.8908,0.02863,0.07391,0.76629,0.05244,0.17186
2,5.792,0.95138,-0.31067,0.27827,194.7732,1.0,0.8812,0.1859,0.40149,0.8906,0.08892,0.09166,0.76325,0.10984,0.1879
2,5.92,0.95138,-0.324,0.28157,197.15974,1.0,0.8808,0.1856,0.40149,0.8904,0.12622,0.11379,0.78768,0.08879,0.29163
2,6.08,0.95138,-0.34045,0.28649,200.04178,1.0,0.8804,0.1853,0.40149,0.8902,0.11903,0.21775,0.80645,0.14113,0.26446
2,6.208,0.95138,-0.35335,0.29101,202.27919,1.0,0.88,0.185,0.40149,0.89,0.15198,0.20481,0.7197,0.11859,0.22793
2,6.336,0.95138,-0.36228,0.29437,205.01315,1.0,0.8796,0.1847,0.40149,0.8898,0.11165,0.1542,0.71241,0.18218,0.29113
2,6.496,0.95138,-0.37962,0.30237,210.50814,1.0,0.8792,0.1844,0.40149,0.8896,0.03213,0.1293,0.73788,0.1985,0.18488
2,6.656,0.95138,-0.39342,0.31029,215.07358,1.0,0.8788,0.1841,0.28587,0.8894,-0.0,0.1701,0.73601,0.21262,0.21061
2,6.752,0.95138,-0.40099,0.31569,215.77608,1.0,0.8784,0.1838,0.28587,0.8892,0.02171,0.23892,0.73786,0.17413,0.22818
