Trial_number,Trial_time,Gradient_T,X,Y,Z,IS_temperature,IS_hydration,IS_energy,IS_security,IS_mating,Att_temperature,Att_hydration,Att_energy,Att_security,Att_mating
8,0.032,0.95701,0.00519,-0.00043,225.80168,0.9092,0.8996,0.1997,0.0,0.8998,0.07094,0.18379,0.04759,-0.0,3e-05
8,0.16,0.95701,0.00371,0.00109,225.90436,0.9184,0.8992,0.1994,0.0,0.8996,0.28258,0.22084,0.3102,-0.0,0.03018
8,0.256,0.95701,-0.00083,0.00605,225.29887,0.9276,0.8988,0.1991,0.0,0.8994,0.33359,0.28346,0.35937,0.04507,0.14139
8,0.416,0.95701,-0.01016,0.01617,219.32989,0.9368,0.8984,0.1988,0.0,0.8992,0.49103,0.37674,0.45058,0.00895,0.08784
8,0.512,0.95701,-0.0169,0.02151,219.10318,0.946,0.898,0.1985,0.0,0.899,0.36356,0.19958,0.83474,0.07911,0.20369
8,0.64,0.95701,-0.02796,0.03025,220.99375,0.9552,0.8976,0.1982,0.0,0.8988,0.31905,0.31707,0.84688,0.27371,0.34205
8,0.768,0.95701,-0.03776,0.03896,219.55526,0.9644,0.8972,0.1979,0.51097,0.8986,0.55489,-0.0,0.80835,0.44008,0.43293
8,0.896,0.95701,-0.03884,0.04292,203.84872,0.9736,0.8968,0.1976,0.51097,0.8984,0.65217,-0.0,0.86809,0.33559,0.3516
8,1.024,0.95701,-0.03917,0.04592,187.33457,0.9828,0.8964,0.1973,0.51097,0.8982,0.66234,0.11583,0.77204,0.28539,0.34535
8,1.12,0.95701,-0.04397,0.0462,189.91687,0.992,0.896,0.197,0.51097,0.898,0.6638,0.32403,0.61225,0.45186,0.36376
8,1.248,0.95955,-0.04974,0.04794,185.69293,1.0,0.8956,0.1967,0.51097,0.8978,0.80111,0.37705,0.71331,0.3183,0.29312
8,1.376,0.95955,-0.05638,0.04944,178.57664,1.0,0.8952,0.1964,0.51097,0.8976,0.66316,0.65213,0.89987,0.22085,0.22319
8,1.504,0.95955,-0.0554,0.05131,168.19355,1.0,0.8948,0.1961,0.51097,0.8974,0.57305,0.50758,0.97832,0.4358,-0.0
8,1.632,0.95955,-0.06487,0.04971,163.17267,1.0,0.8944,0.1958,0.51097,0.8972,0.58846,0.32571,0.91,0.41805,-0.0
8,1.792,0.95955,-0.07711,0.04613,156.42064,1.0,0.894,0.1955,0.51097,0.897,0.65432,0.32521,1.0,0.61764,-0.0
8,1.952,0.95955,-0.08853,0.04118,156.19717,1.0,0.8936,0.1952,0.51097,0.8968,0.47634,0.21549,0.85595,0.49776,0.00795
8,2.112,0.95955,-0.09987,0.03639,151.23928,1.0,0.8932,0.1949,0.51097,0.8966,0.31537,0.22811,0.70162,0.36544,-0.0
8,2.24,0.95955,-0.10957,0.03029,158.78071,1.0,0.8928,0.1946,0.51097,0.8964,0.38827,0.32291,0.93646,0.42018,0.01522
8,2.368,0.95955,-0.11858,0.02539,171.32167,1.0,0.8924,0.1943,0.48213,0.8962,0.5131,0.25993,0.79173,0.35657,-0.0
8,2.496,0.95955,-0.12473,0.02528,166.69012,1.0,0.892,0.194,0.48213,0.896,0.40596,0.39734,0.42219,0.10334,0.10059
8,2.624,0.95955,-0.136,0.02275,163.8924,1.0,0.8916,0.1937,0.48213,0.8958,0.4389,0.29375,0.71135,0.24948,0.04543
8,2.784,0.95701,-0.15329,0.01777,163.8979,1.0,0.8912,0.1934,0.48213,0.8956,0.30694,0.09751,0.60754,0.4402,-0.0
8,2.912,0.95701,-0.16472,0.01435,165.81699,1.0,0.8908,0.1931,0.48213,0.8954,0.18967,0.24735,0.54841,0.33898,0.14096
8,3.04,0.95701,-0.17925,0.01064,165.16959,1.0,0.8904,0.1928,0.48213,0.8952,-0.0,0.34428,0.41654,0.43789,0.11122
8,3.2,0.95701,-0.19189,0.00737,163.6687,1.0,0.89,0.1925,0.48213,0.895,0.17675,0.56023,0.46539,0.45169,0.02296
8,3.328,0.95701,-0.20597,0.00284,167.29987,1.0,0.8896,0.1922,0.48213,0.8948,0.32263,0.31365,0.58539,0.1881,-0.0
8,3.456,0.95701,-0.21237,0.00064,173.80261,1.0,0.8892,0.1919,0.48213,0.8946,0.38188,0.66548,0.5756,0.23372,0.04009
8,3.584,0.95701,-0.22026,-0.00074,177.74318,1.0,0.8888,0.1916,0.48213,0.8944,0.43403,0.43923,0.8085,0.42747,0.17945
8,3.712,0.95701,-0.23492,-0.00143,178.63796,1.0,0.8884,0.1913,0.48213,0.8942,0.44849,0.45249,0.94648,0.33629,0.07972
8,3.84,0.95701,-0.24571,-0.00097,173.4413,1.0,0.888,0.191,0.44316,0.894,0.52443,0.40719,1.0,0.25823,0.03692
8,4.0,0.95701,-0.25767,-0.00137,162.04851,1.0,0.8876,0.1907,0.44316,0.8938,0.37578,0.50813,0.87978,0.27317,-0.0
8,4.096,0.95701,-0.26472,-0.0029,156.2382,1.0,0.8872,0.1904,0.44316,0.8936,0.41901,0.49447,0.84393,0.20289,-0.0
8,4.224,0.95428,-0.27391,-0.007,154.41165,1.0,0.8868,0.1901,0.44316,0.8934,0.32498,0.44588,0.9946,0.16056,0.01997
8,4.352,0.95428,-0.2861,-0.01298,158.9462,1.0,0.8864,0.1898,0.44316,0.8932,0.32451,0.37738,1.0,0.12897,0.06073
8,4.512,0.95428,-0.30311,-0.01951,156.63683,1.0,0.886,0.1895,0.44316,0.893,0.2166,0.43948,0.99277,0.03283,-0.0
8,4.64,0.95428,-0.31728,-0.02558,155.52994,1.0,0.8856,0.1892,0.44316,0.8928,0.05828,0.47841,0.93632,0.16456,-0.0
8,4.8,0.95428,-0.32891,-0.03084,155.27845,1.0,0.8852,0.1889,0.44316,0.8926,0.0052,0.28354,1.0,0.15673,-0.0
8,4.896,0.95428,-0.33777,-0.03448,151.06541,1.0,0.8848,0.1886,0.44316,0.8924,0.1161,0.1683,0.99119,0.03005,-0.0
8,5.024,0.95428,-0.34864,-0.04072,150.41105,1.0,0.8844,0.1883,0.44316,0.8922,0.17008,0.05586,1.0,-0.0,0.03138
8,5.184,0.95428,-0.36356,-0.04872,149.96205,1.0,0.884,0.188,0.44316,0.892,0.10175,0.06975,0.92899,-0.0,0.09213
8,5.344,0.95428,-0.37163,-0.05387,155.27175,1.0,0.8836,0.1877,0.44316,0.8918,0.01058,0.05569,0.96311,-0.0,0.00726
8,5.472,0.95428,-0.37834,-0.05682,154.00067,1.0,0.8832,0.1874,0.36999,0.8916,0.01976,-0.0,0.9028,-0.0,-0.0
8,5.6,0.95428,-0.38582,-0.06066,154.84616,1.0,0.8828,0.1871,0.36999,0.8914,0.02138,-0.0,0.85525,-0.0,0.07865
8,5.696,0.95428,-0.39034,-0.06315,157.39653,1.0,0.8824,0.1868,0.36999,0.8912,-0.0,0.01745,0.86895,0.01024,0.21434
8,5.824,0.9483,-0.4042,-0.0694,161.6709,1.0,0.882,0.1865,0.36999,0.891,-0.0,-0.0,0.92352,-0.0,0.31056
8,5.952,0.9483,-0.41217,-0.07318,172.84811,1.0,0.8816,0.1862,0.36999,0.8908,0.05111,0.05986,1.0,-0.0,0.21037
8,6.08,0.9483,-0.41442,-0.07387,175.98379,1.0,0.8812,0.1859,0.36999,0.8906,0.01752,0.03037,0.95877,0.00546,0.16306
8,6.208,0.9483,-0.42059,-0.07431,174.80954,1.0,0.8808,0.1856,0.36999,0.8904,-0.0,0.10449,1.0,-0.0,0.21606
8,6.368,0.9483,-0.43587,-0.07575,182.70257,1.0,0.8804,0.1853,0.36999,0.8902,0.05356,0.08893,1.0,-0.0,0.21182
8,6.496,0.9483,-0.4486,-0.07513,184.23614,1.0,0.88,0.185,0.36999,0.89,0.07106,0.12444,0.89703,-0.0,0.19931
8,6.624,0.9483,-0.45938,-0.0738,179.43506,1.0,0.8796,0.1847,0.36999,0.8898,0.021,0.11318,1.0,0.03845,0.18339
8,6.752,0.9483,-0.46727,-0.07365,176.81106,1.0,0.8792,0.1844,0.36999,0.8896,-0.0,0.11362,0.99277,-0.0,0.21158
8,6.848,0.9483,-0.48287,-0.07447,175.49486,1.0,0.8788,0.1841,0.36999,0.8894,0.09531,0.10939,0.99221,0.04908,0.28072
8,6.976,0.9483,-0.49784,-0.07555,173.57816,1.0,0.8784,0.1838,0.28741,0.8892,0.06592,0.08916,0.9985,0.08204,0.3226
8,7.104,0.9483,-0.50937,-0.07778,182.3917,1.0,0.878,0.1835,0.28741,0.889,0.02996,0.12489,0.96773,0.0114,0.3315
8,7.2,0.9483,-0.51377,-0.07873,190.31203,1.0,0.8776,0.1832,0.28741,0.8888,-0.0,0.10736,1.0,-0.0,0.28247
8,7.264,0.9483,-0.52179,-0.07752,191.88355,1.0,0.8772,0.1829,0.28741,0.8886,0.05985,0.09108,0.97262,-0.0,0.20564
8,7.36,0.94505,-0.52459,-0.07604,187.03574,1.0,0.8768,0.1826,0.28741,0.8884,0.08337,0.16714,0.95644,-0.0,0.18436
8,7.488,0.94505,-0.5345,-0.07576,194.07228,1.0,0.8764,0.1823,0.28741,0.8882,0.08694,0.27035,0.9947,-0.0,0.14448
8,7.648,0.94505,-0.54099,-0.07565,204.83631,1.0,0.876,0.182,0.28741,0.888,0.14424,0.20168,1.0,0.01606,0.21634
8,7.808,0.94505,-0.5484,-0.07097,199.70642,1.0,0.8756,0.1817,0.28741,0.8878,0.11451,0.14961,1.0,-0.0,0.2114
8,7.968,0.94505,-0.56351,-0.06495,193.85453,1.0,0.8752,0.1814,0.28741,0.8876,0.11287,0.14808,1.0,0.02512,0.13582
8,8.096,0.94505,-0.57148,-0.06318,194.33177,1.0,0.8748,0.1811,0.28741,0.8874,0.10702,0.14588,0.98432,0.1103,0.14674
8,8.192,0.94505,-0.58098,-0.06063,192.96123,1.0,0.8744,0.1808,0.28741,0.8872,0.07783,0.05476,0.85858,0.16187,0.10432
8,8.352,0.94505,-0.5922,-0.05824,195.12725,1.0,0.874,0.1805,0.28741,0.887,0.03482,0.1583,0.76865,0.14429,0.05931
8,8.48,0.94505,-0.60593,-0.05481,199.0749,1.0,0.8736,0.1802,0.20754,0.8868,0.02945,0.15356,0.79156,0.11436,0.00375
8,8.576,0.94505,-0.61704,-0.051,199.60213,1.0,0.8732,0.1799,0.20754,0.8866,-0.0,0.20503,0.77588,0.1391,-0.0
8,8.736,0.94505,-0.63302,-0.04562,204.29795,1.0,0.8728,0.1796,0.20754,0.8864,0.07295,0.0849,0.8313,0.10802,-0.0
8,8.864,0.93808,-0.64623,-0.03943,204.38858,1.0,0.8724,0.1793,0.20754,0.8862,0.00794,0.09783,0.74581,0.0645,0.12186
8,8.992,0.93808,-0.65437,-0.03487,197.14099,1.0,0.872,0.179,0.20754,0.886,-0.0,-0.0,0.78389,0.03885,0.0709
8,9.152,0.93808,-0.66092,-0.03192,189.21351,1.0,0.8716,0.1787,0.20754,0.8858,-0.0,0.02569,0.88942,0.11886,0.06531
8,9.28,0.93808,-0.67194,-0.03025,186.30027,1.0,0.8712,0.1784,0.20754,0.8856,0.06779,-0.0,0.94747,0.16222,0.02188
8,9.44,0.93808,-0.68585,-0.0286,184.39411,1.0,0.8708,0.1781,0.20754,0.8854,0.03487,-0.0,0.94546,0.17408,-0.0
8,9.568,0.93808,-0.69145,-0.02764,180.62814,1.0,0.8704,0.1778,0.20754,0.8852,-0.0,-0.0,1.0,0.13966,0.00033
8,9.792,0.93808,-0.70907,-0.02776,169.75506,1.0,0.87,0.1775,0.20754,0.885,0.03724,-0.0,0.95915,0.17786,-0.0
8,9.888,0.93808,-0.71879,-0.02964,171.45121,1.0,0.8696,0.1772,0.20754,0.8848,0.04205,0.06321,1.0,0.20214,0.01574
8,10.016,0.93808,-0.72695,-0.03224,180.76166,1.0,0.8692,0.1769,0.13759,0.8846,0.05424,0.0312,0.99042,0.11319,0.02519
8,10.112,0.93808,-0.73185,-0.03385,193.7569,1.0,0.8688,0.1766,0.13759,0.8844,0.12473,-0.0,0.99507,0.14888,0.11849
8,10.208,0.93808,-0.73883,-0.03337,203.91934,1.0,0.8684,0.1763,0.13759,0.8842,0.07335,-0.0,1.0,0.0944,0.18608
8,10.336,0.93437,-0.74378,-0.02893,192.18904,1.0,0.868,0.176,0.13759,0.884,0.0678,-0.0,0.92869,0.08674,0.17088
8,10.432,0.93437,-0.75079,-0.0275,191.18283,1.0,0.8676,0.1757,0.13759,0.8838,0.08067,-0.0,0.93744,0.08775,0.05326
